code,location,interlevel,original
012812023,"BGY. NO. 34-A, GABU NORTE WEST",Bgy,True
012812023,BGY. NO. 34-A,Bgy,False
012812023,GABU NORTE WEST,Bgy,False
012812024,GABU SUR,Bgy,False
012812024,"BGY. NO. 35, GABU SUR",Bgy,True
012812024,BGY. NO. 35,Bgy,False
012812026,BGY. NO. 32-C LA PAZ EAST,Bgy,True
012812026,BGY. NO. 32-C,Bgy,False
012812026,LA PAZ EAST,Bgy,False
012812027,LA PAZ PROPER,Bgy,False
012812027,BGY. NO. 33-B,Bgy,False
012812027,"BGY. NO. 33-B, LA PAZ PROPER",Bgy,True
012812028,BGY. NO. 32-B,Bgy,False
012812028,LA PAZ WEST,Bgy,False
012812028,"BGY. NO. 32-B, LA PAZ WEST",Bgy,True
012812029,BGY. NO. 54-A,Bgy,False
012812029,LAGUI-SAIL,Bgy,False
012812029,"BGY. NO. 54-A, LAGUI-SAIL",Bgy,True
012812030,BGY. NO. 32-A,Bgy,False
012812030,LA PAZ EAST,Bgy,False
012812030,"BGY. NO. 32-A, LA PAZ EAST",Bgy,True
012812031,"BGY. NO. 33-A, LA PAZ PROPER",Bgy,True
012812031,BGY. NO. 33-A,Bgy,False
012812031,LA PAZ PROPER,Bgy,False
012812032,BGY. NO. 52-B,Bgy,False
012812032,LATAAG,Bgy,False
012812032,"BGY. NO. 52-B, LATAAG",Bgy,True
012812033,MADILADIG,Bgy,False
012812033,"BGY. NO. 60-B, MADILADIG",Bgy,True
012812033,BGY. NO. 60-B,Bgy,False
012812034,BGY. NO. 38-A,Bgy,False
012812034,MANGATO EAST,Bgy,False
012812034,"BGY. NO. 38-A, MANGATO EAST",Bgy,True
012812035,BGY. NO. 38-B,Bgy,False
012812035,MANGATO WEST,Bgy,False
012812035,"BGY. NO. 38-B, MANGATO WEST",Bgy,True
012812036,NAVOTAS NORTH,Bgy,False
012812036,BGY. NO. 62-A,Bgy,False
012812036,"BGY. NO. 62-A, NAVOTAS NORTH",Bgy,True
012812037,NAVOTAS SOUTH,Bgy,False
012812037,BGY. NO. 62-B,Bgy,False
012812037,"BGY. NO. 62-B, NAVOTAS SOUTH",Bgy,True
012812038,"BGY. NO. 46, NALBO",Bgy,True
012812038,BGY. NO. 46,Bgy,False
012812038,NALBO,Bgy,False
012812039,"BGY. NO. 51-A, NANGALISAN EAST",Bgy,True
012812039,NANGALISAN EAST,Bgy,False
012812039,BGY. NO. 51-A,Bgy,False
012812040,"BGY. NO. 51-B, NANGALISAN WEST",Bgy,True
012812040,BGY. NO. 51-B,Bgy,False
012812040,NANGALISAN WEST,Bgy,False
012812041,BGY. NO. 24,Bgy,False
012812041,"BGY. NO. 24, NSTRA. SRA. DE CONSOLACION (POB.)",Bgy,True
012812041,NSTRA. SRA. DE CONSOLACION,Bgy,False
012812042,BGY. NO. 7-A,Bgy,False
012812042,NSTRA. SRA. DE NATIVIDAD,Bgy,False
012812042,"BGY. NO. 7-A, NSTRA. SRA. DE NATIVIDAD (POB.)",Bgy,True
012812043,NSTRA. SRA. DE NATIVIDAD,Bgy,False
012812043,BGY. NO. 7-B,Bgy,False
012812043,"BGY. NO. 7-B, NSTRA. SRA. DE NATIVIDAD (POB.)",Bgy,True
012812044,"BGY. NO. 27, NSTRA. SRA. DE SOLEDAD (POB.)",Bgy,True
012812044,NSTRA. SRA. DE SOLEDAD,Bgy,False
012812044,BGY. NO. 27,Bgy,False
012812045,BGY. NO. 13,Bgy,False
012812045,"BGY. NO. 13, NSTRA. SRA. DE VISITACION (POB.)",Bgy,True
012812045,NSTRA. SRA. DE VISITACION,Bgy,False
012812046,"BGY. NO. 3, NSTRA. SRA. DEL ROSARIO (POB.)",Bgy,True
012812046,NSTRA. SRA. DEL ROSARIO,Bgy,False
012812046,BGY. NO. 3,Bgy,False
012812047,"BGY. NO. 57, PILA",Bgy,True
012812047,PILA,Bgy,False
012812047,BGY. NO. 57,Bgy,False
012812048,RARABURAN,Bgy,False
012812048,BGY. NO. 49-B,Bgy,False
012812048,"BGY. NO. 49-B, RARABURAN",Bgy,True
012812049,BGY. NO. 53,Bgy,False
012812049,"BGY. NO. 53, RIOENG",Bgy,True
012812049,RIOENG,Bgy,False
012812050,"BGY. NO. 55-B, SALET-BULANGON",Bgy,True
012812050,BGY. NO. 55-B,Bgy,False
012812050,SALET-BULANGON,Bgy,False
012812053,"BGY. NO. 6, SAN AGUSTIN (POB.)",Bgy,True
012812053,SAN AGUSTIN,Bgy,False
012812053,BGY. NO. 6,Bgy,False
012812054,"BGY. NO. 22, SAN ANDRES (POB.)",Bgy,True
012812054,SAN ANDRES,Bgy,False
012812054,BGY. NO. 22,Bgy,False
012812055,BGY. NO. 28,Bgy,False
012812055,SAN BERNARDO,Bgy,False
012812055,"BGY. NO. 28, SAN BERNARDO (POB.)",Bgy,True
012812056,BGY. NO. 17,Bgy,False
012812056,"BGY. NO. 17, SAN FRANCISCO (POB.)",Bgy,True
012812056,SAN FRANCISCO,Bgy,False
012812057,BGY. NO. 4,Bgy,False
012812057,"BGY. NO. 4, SAN GUILLERMO (POB.)",Bgy,True
